Transaction_ID,Customer_ID,Product,Date,Amount
TX_86820,CUST_007,Laptop Stand,2026-01-15,121
TX_54131,CUST_007,Mechanical Keyboard,2026-03-16,217
TX_10769,CUST_008,Type-C Hub,2026-05-30,67
TX_15311,CUST_024,Laptop Stand,2026-02-07,144
TX_38693,CUST_028,USB Cable,2026-07-23,72
TX_35658,CUST_029,Mechanical Keyboard,2026-02-18,233
TX_69150,CUST_010,Wireless Mouse,2026-07-07,222
TX_77435,CUST_030,Wireless Mouse,2026-07-09,65
TX_13890,CUST_023,Power Bank,2026-05-11,243
TX_20627,CUST_007,Wireless Mouse,2026-06-16,32
TX_78148,CUST_025,Bluetooth Speaker,2026-01-09,104
TX_58555,CUST_002,Type-C Hub,2026-04-21,202
TX_45920,CUST_029,Laptop Stand,2026-02-04,220
TX_76557,CUST_004,USB Cable,2026-05-12,16
TX_19692,CUST_006,USB Cable,2026-01-04,68
TX_42606,CUST_018,Monitor Arm,2026-06-11,216
TX_11016,CUST_016,USB Cable,2026-07-25,229
TX_92798,CUST_030,USB Cable,2026-07-27,96
TX_48044,CUST_021,Webcam,2026-07-07,138
TX_12568,CUST_015,Wireless Mouse,2026-03-30,85
TX_58190,CUST_024,Mechanical Keyboard,2026-05-16,230
TX_71858,CUST_011,USB Cable,2026-05-16,177
TX_32662,CUST_001,Webcam,2026-02-10,42
TX_99135,CUST_009,Webcam,2026-06-11,47
TX_94651,CUST_023,USB Cable,2026-02-06,113
TX_18110,CUST_008,USB Cable,2026-02-04,207
TX_16910,CUST_014,Laptop Stand,2026-01-05,232
TX_97054,CUST_014,Gaming Headset,2026-05-17,221
TX_60015,CUST_026,Wireless Mouse,2026-07-24,193
TX_28141,CUST_007,Gaming Headset,2026-04-06,146
TX_43827,CUST_005,USB Cable,2026-05-23,185
TX_32299,CUST_013,Wireless Mouse,2026-07-06,100
TX_12693,CUST_002,Webcam,2026-03-03,199
TX_58925,CUST_028,Laptop Stand,2026-02-13,98
TX_54262,CUST_030,Gaming Headset,2026-04-02,231
TX_71373,CUST_030,Wireless Mouse,2026-05-01,41
TX_68053,CUST_025,Laptop Stand,2026-01-03,117
TX_23545,CUST_008,Gaming Headset,2026-03-03,179
TX_71087,CUST_012,USB Cable,2026-02-28,132
TX_56576,CUST_024,Type-C Hub,2026-04-23,76
TX_99474,CUST_026,Bluetooth Speaker,2026-02-08,144
TX_36736,CUST_017,Wireless Mouse,2026-07-03,95
TX_48623,CUST_002,Gaming Headset,2026-02-23,101
TX_97092,CUST_001,Webcam,2026-05-06,144
TX_73734,CUST_012,Mechanical Keyboard,2026-07-17,174
TX_22688,CUST_004,Wireless Mouse,2026-07-03,137
TX_75733,CUST_006,Mechanical Keyboard,2026-04-26,112
TX_52107,CUST_022,Gaming Headset,2026-05-24,111
TX_59811,CUST_027,USB Cable,2026-04-03,17
TX_44754,CUST_028,Type-C Hub,2026-05-27,104
TX_18680,CUST_019,Mechanical Keyboard,2026-07-18,66
TX_21111,CUST_001,Mechanical Keyboard,2026-02-08,96
TX_57254,CUST_001,Type-C Hub,2026-07-04,231
TX_26371,CUST_030,Type-C Hub,2026-01-07,158
TX_30932,CUST_028,USB Cable,2026-05-09,62
TX_52642,CUST_005,Mousepad,2026-01-09,247
TX_69040,CUST_016,Laptop Stand,2026-05-28,166
TX_15539,CUST_024,Mousepad,2026-04-23,214
TX_92018,CUST_006,Type-C Hub,2026-04-22,231
TX_87505,CUST_025,Wireless Mouse,2026-05-08,124
TX_48467,CUST_022,Mechanical Keyboard,2026-07-08,183
TX_68871,CUST_001,Gaming Headset,2026-02-17,162
TX_54064,CUST_008,Laptop Stand,2026-05-25,142
TX_29830,CUST_016,Wireless Mouse,2026-04-25,228
TX_13436,CUST_022,USB Cable,2026-02-07,244
TX_59377,CUST_019,Mousepad,2026-01-27,41
TX_15600,CUST_021,Gaming Headset,2026-01-28,125
TX_66835,CUST_005,USB Cable,2026-02-17,161
TX_28589,CUST_003,Monitor Arm,2026-01-17,186
TX_42635,CUST_029,USB Cable,2026-01-06,113
TX_55236,CUST_009,Bluetooth Speaker,2026-04-03,60
TX_20492,CUST_003,Power Bank,2026-04-26,205
TX_36641,CUST_021,USB Cable,2026-06-10,81
TX_61885,CUST_025,Mechanical Keyboard,2026-02-23,72
TX_28070,CUST_024,USB Cable,2026-06-24,100
TX_76320,CUST_002,USB Cable,2026-05-10,232
TX_64748,CUST_008,Type-C Hub,2026-02-12,190
TX_39592,CUST_010,Laptop Stand,2026-04-09,64
TX_80316,CUST_024,HDMI Cable,2026-05-15,71
TX_97922,CUST_020,Type-C Hub,2026-05-24,156
TX_20966,CUST_023,Wireless Mouse,2026-04-08,80
TX_60300,CUST_022,USB Cable,2026-07-05,77
TX_80313,CUST_022,Webcam,2026-03-27,63
TX_90135,CUST_006,USB Cable,2026-07-07,115
TX_97142,CUST_021,USB Cable,2026-04-18,19
TX_79678,CUST_004,Laptop Stand,2026-04-26,108
TX_27019,CUST_003,Webcam,2026-02-21,158
TX_92750,CUST_010,USB Cable,2026-05-25,134
TX_42217,CUST_019,Mechanical Keyboard,2026-07-02,104
TX_84740,CUST_021,Wireless Mouse,2026-05-07,151
TX_56175,CUST_001,Wireless Mouse,2026-01-01,48
TX_66556,CUST_030,Wireless Mouse,2026-03-30,246
TX_39375,CUST_021,Webcam,2026-07-08,245
TX_77215,CUST_005,Webcam,2026-07-14,90
TX_71389,CUST_019,Monitor Arm,2026-07-04,43
TX_70403,CUST_028,Wireless Mouse,2026-04-04,204
TX_72752,CUST_005,Gaming Headset,2026-06-25,99
TX_89605,CUST_030,Mechanical Keyboard,2026-01-23,24
TX_75417,CUST_005,Mousepad,2026-06-29,237
TX_51975,CUST_026,HDMI Cable,2026-04-06,15
TX_67679,CUST_005,Type-C Hub,2026-01-16,38
