Order_ID,Customer_ID,Product_ID,Order_Date,Quantity
ORD_1001,CUST_007,P104,2026-04-03,3
ORD_1002,CUST_008,P105,2026-01-21,3
ORD_1003,CUST_010,P103,2026-03-16,3
ORD_1004,CUST_008,P105,2026-04-10,3
ORD_1005,CUST_006,P105,2026-01-02,2
ORD_1006,CUST_006,P102,2026-01-21,1
ORD_1007,CUST_010,P105,2026-03-30,1
ORD_1008,CUST_010,P104,2026-01-15,2
ORD_1009,CUST_003,P104,2026-02-24,1
ORD_1010,CUST_003,P105,2026-02-20,3
ORD_1011,CUST_005,P101,2026-06-16,2
ORD_1012,CUST_004,P101,2026-03-01,2
ORD_1013,CUST_002,P102,2026-01-09,2
ORD_1014,CUST_005,P102,2026-03-25,3
ORD_1015,CUST_007,P104,2026-01-08,3
ORD_1016,CUST_003,P101,2026-06-13,2
ORD_1017,CUST_008,P104,2026-01-02,2
ORD_1018,CUST_006,P102,2026-01-04,2
ORD_1019,CUST_002,P102,2026-02-13,2
ORD_1020,CUST_010,P104,2026-01-14,3
ORD_1021,CUST_008,P104,2026-02-09,1
ORD_1022,CUST_002,P105,2026-01-24,2
ORD_1023,CUST_009,P104,2026-05-04,1
ORD_1024,CUST_009,P105,2026-01-15,1
ORD_1025,CUST_001,P101,2026-03-12,1
ORD_1026,CUST_008,P101,2026-05-16,3
ORD_1027,CUST_003,P101,2026-05-16,3
ORD_1028,CUST_003,P101,2026-05-03,1
ORD_1029,CUST_010,P102,2026-02-10,3
ORD_1030,CUST_009,P104,2026-06-11,1
ORD_1031,CUST_007,P105,2026-04-09,2
ORD_1032,CUST_003,P101,2026-04-11,3
ORD_1033,CUST_003,P101,2026-01-05,2
ORD_1034,CUST_007,P103,2026-05-17,3
ORD_1035,CUST_010,P102,2026-05-04,1
ORD_1036,CUST_003,P101,2026-02-21,1
ORD_1037,CUST_004,P105,2026-05-31,3
ORD_1038,CUST_004,P105,2026-06-09,3
ORD_1039,CUST_003,P104,2026-03-07,2
ORD_1040,CUST_009,P105,2026-05-14,2
ORD_1041,CUST_010,P104,2026-05-09,1
ORD_1042,CUST_009,P104,2026-01-03,3
ORD_1043,CUST_006,P103,2026-05-17,2
ORD_1044,CUST_005,P101,2026-02-20,2
ORD_1045,CUST_008,P103,2026-04-28,1
ORD_1046,CUST_004,P101,2026-03-03,1
ORD_1047,CUST_010,P104,2026-01-12,2
ORD_1048,CUST_007,P102,2026-05-11,1
ORD_1049,CUST_005,P101,2026-03-22,3
ORD_1050,CUST_001,P102,2026-05-10,2
