Date,Employee,Product,Product_Category,Region,Customer_ID,Quantity,Sales
2024-01-01,David,Laptop,Electronics,East,CUST_108,3,3000
2024-01-02,Alice,Tablet,Electronics,South,CUST_111,3,1200
2024-01-03,David,Laptop,Electronics,West,CUST_103,4,4000
2024-01-04,Alice,Phone,Electronics,West,CUST_106,4,2400
2024-01-04,Bob,Monitor,Electronics,West,CUST_101,1,300
2024-01-05,Bob,Phone,Electronics,North,CUST_117,4,2400
2024-01-05,Charlie,Tablet,Electronics,East,CUST_116,2,800
2024-01-06,Bob,Phone,Electronics,East,CUST_119,2,1200
2024-01-07,Charlie,Monitor,Electronics,West,CUST_103,1,300
2024-01-07,Alice,Tablet,Electronics,East,CUST_109,1,400
2024-01-08,Bob,Monitor,Electronics,North,CUST_114,4,1200
2024-01-09,Bob,Laptop,Electronics,South,CUST_102,1,1000
2024-01-09,David,Monitor,Electronics,East,CUST_107,4,1200
2024-01-10,Alice,Monitor,Electronics,East,CUST_114,3,900
2024-01-10,Alice,Monitor,Electronics,South,CUST_104,4,1200
2024-01-11,Bob,Phone,Electronics,South,CUST_104,2,1200
2024-01-11,Bob,Laptop,Electronics,East,CUST_112,2,2000
2024-01-12,Bob,Phone,Electronics,West,CUST_116,2,1200
2024-01-12,Charlie,Monitor,Electronics,South,CUST_108,3,900
2024-01-13,David,Laptop,Electronics,South,CUST_113,3,3000
2024-01-14,Alice,Tablet,Electronics,North,CUST_107,1,400
2024-01-15,David,Laptop,Electronics,West,CUST_111,4,4000
2024-01-16,Alice,Monitor,Electronics,East,CUST_101,3,900
2024-01-17,Alice,Phone,Electronics,East,CUST_109,2,1200
2024-01-18,Charlie,Laptop,Electronics,West,CUST_102,4,4000
2024-01-18,Alice,Monitor,Electronics,East,CUST_105,3,900
2024-01-19,David,Monitor,Electronics,South,CUST_103,3,900
2024-01-20,Charlie,Laptop,Electronics,East,CUST_103,2,2000
2024-01-21,Alice,Phone,Electronics,East,CUST_114,3,1800
2024-01-22,Charlie,Laptop,Electronics,East,CUST_110,3,3000
2024-01-23,Alice,Tablet,Electronics,East,CUST_107,4,1600
2024-01-23,Alice,Monitor,Electronics,North,CUST_104,4,1200
2024-01-24,Alice,Tablet,Electronics,East,CUST_115,1,400
2024-01-24,Charlie,Laptop,Electronics,West,CUST_107,1,1000
2024-01-25,Charlie,Phone,Electronics,West,CUST_110,2,1200
2024-01-26,Bob,Laptop,Electronics,North,CUST_112,2,2000
2024-01-27,David,Phone,Electronics,South,CUST_107,3,1800
2024-01-27,Bob,Laptop,Electronics,North,CUST_113,1,1000
2024-01-28,Charlie,Tablet,Electronics,South,CUST_109,4,1600
2024-01-29,Alice,Laptop,Electronics,East,CUST_112,2,2000
2024-01-29,David,Tablet,Electronics,East,CUST_109,2,800
2024-01-30,Alice,Phone,Electronics,North,CUST_112,2,1200
2024-01-30,Bob,Tablet,Electronics,South,CUST_117,3,1200
2024-01-31,Alice,Monitor,Electronics,North,CUST_117,3,900
2024-02-01,Bob,Monitor,Electronics,South,CUST_105,3,900
2024-02-01,David,Laptop,Electronics,North,CUST_102,3,3000
2024-02-02,David,Phone,Electronics,West,CUST_104,2,1200
2024-02-03,Charlie,Monitor,Electronics,East,CUST_106,1,300
2024-02-04,Alice,Monitor,Electronics,South,CUST_111,2,600
